impl,layers,batch,activation,time_ms,gflops
baseline,512_512_512,64,relu,17.78,3.77
activation_fused,512_512_512,64,relu,17.85,3.76
baseline,512_512_512,128,relu,17.69,7.59
activation_fused,512_512_512,128,relu,18.12,7.41
baseline,512_512_512,256,relu,17.76,15.12
activation_fused,512_512_512,256,relu,18.07,14.86
baseline,512_512_512,512,relu,4.81,111.53
activation_fused,512_512_512,512,relu,4.87,110.33
baseline,1024_2048_1024,64,relu,17.84,30.09
activation_fused,1024_2048_1024,64,relu,17.61,30.49
baseline,1024_2048_1024,128,relu,5.00,214.70
activation_fused,1024_2048_1024,128,relu,5.05,212.65
baseline,1024_2048_1024,256,relu,5.09,421.62
activation_fused,1024_2048_1024,256,relu,5.15,416.93
baseline,1024_2048_1024,512,relu,5.70,754.10
activation_fused,1024_2048_1024,512,relu,5.27,815.54
baseline,2048_2048_2048,64,relu,17.89,60.01
activation_fused,2048_2048_2048,64,relu,17.61,60.99
baseline,2048_2048_2048,128,relu,5.11,420.18
activation_fused,2048_2048_2048,128,relu,5.08,422.90
baseline,2048_2048_2048,256,relu,5.26,816.49
activation_fused,2048_2048_2048,256,relu,5.42,792.87
baseline,2048_2048_2048,512,relu,6.14,1398.33
activation_fused,2048_2048_2048,512,relu,5.67,1514.74
