impl,height,width,cin,cout,k,stride,padding,time_ms,gflops
tiled,256,256,32,32,3,1,1,1.19,1013.44
naive,256,256,32,32,3,1,1,1.27,948.27
tiled,256,256,32,64,3,1,1,2.25,1075.83
naive,256,256,32,64,3,1,1,2.52,960.23
tiled,256,256,32,128,3,1,1,4.90,986.33
naive,256,256,32,128,3,1,1,5.28,915.17
tiled,512,512,32,32,3,1,1,5.08,951.52
naive,512,512,32,32,3,1,1,5.51,876.90
tiled,512,512,32,64,3,1,1,10.02,964.55
naive,512,512,32,64,3,1,1,10.86,889.80
tiled,512,512,32,128,3,1,1,19.89,971.65
naive,512,512,32,128,3,1,1,21.58,895.45
tiled,1024,1024,32,32,3,1,1,20.48,943.67
naive,1024,1024,32,32,3,1,1,22.28,867.59
tiled,1024,1024,32,64,3,1,1,40.80,947.37
naive,1024,1024,32,64,3,1,1,44.41,870.35
tiled,1024,1024,32,128,3,1,1,74.34,1039.98
naive,1024,1024,32,128,3,1,1,83.76,923.02
