impl,height,width,cin,cout,k,stride,padding,time_ms,gflops,samples_averaged
naive,256,256,32,32,3,1,1,1.3325,905.3125,4
naive,512,512,32,32,3,1,1,5.5,878.82,4
naive,1024,1024,32,32,3,1,1,22.2575,868.44,4
tiled,256,256,32,32,3,1,1,1.2850000000000001,941.395,4
tiled,512,512,32,32,3,1,1,5.07,953.2075,4
tiled,1024,1024,32,32,3,1,1,20.455,945.0075,4
naive,256,256,32,64,3,1,1,2.6275,920.625,4
naive,512,512,32,64,3,1,1,10.860000000000001,890.0324999999999,4
naive,1024,1024,32,64,3,1,1,42.9075,901.2725,4
tiled,256,256,32,64,3,1,1,2.4175,1001.76,4
tiled,512,512,32,64,3,1,1,9.995000000000001,966.8024999999999,4
tiled,1024,1024,32,64,3,1,1,40.7425,948.7275,4
naive,256,256,32,128,3,1,1,5.2775,915.435,4
naive,512,512,32,128,3,1,1,21.5625,896.2600000000001,4
naive,1024,1024,32,128,3,1,1,83.7775,922.7950000000001,4
tiled,256,256,32,128,3,1,1,4.8525,996.0450000000001,4
tiled,512,512,32,128,3,1,1,19.8575,973.285,4
tiled,1024,1024,32,128,3,1,1,75.26499999999999,1027.2525,4
