impl,batch,algo,trial,time_ms,gflops
baseline,32,implicit_gemm,0,150.88,0.18
baseline,32,implicit_gemm,1,137.56,0.19
baseline,32,implicit_gemm,2,127.92,0.21
baseline,32,implicit_gemm,3,133.83,0.20
baseline,32,implicit_gemm,4,125.40,0.21
fused,32,implicit_gemm,0,17.42,1.53
fused,32,implicit_gemm,1,17.52,1.52
fused,32,implicit_gemm,2,17.73,1.50
fused,32,implicit_gemm,3,17.54,1.52
fused,32,implicit_gemm,4,17.62,1.51
baseline,32,implicit_precomp,0,149.49,0.18
baseline,32,implicit_precomp,1,157.15,0.17
baseline,32,implicit_precomp,2,151.28,0.18
baseline,32,implicit_precomp,3,152.18,0.18
baseline,32,implicit_precomp,4,153.62,0.17
fused,32,implicit_precomp,0,17.68,1.51
fused,32,implicit_precomp,1,18.21,1.46
fused,32,implicit_precomp,2,18.70,1.43
fused,32,implicit_precomp,3,18.40,1.45
fused,32,implicit_precomp,4,17.54,1.52
baseline,32,gemm,0,134.40,0.20
baseline,32,gemm,1,131.10,0.20
baseline,32,gemm,2,132.93,0.20
baseline,32,gemm,3,131.59,0.20
baseline,32,gemm,4,139.55,0.19
fused,32,gemm,0,17.79,1.50
fused,32,gemm,1,17.09,1.56
fused,32,gemm,2,17.19,1.55
fused,32,gemm,3,18.28,1.46
fused,32,gemm,4,17.83,1.50
baseline,32,winograd,0,125.71,0.21
baseline,32,winograd,1,129.33,0.21
baseline,32,winograd,2,126.81,0.21
baseline,32,winograd,3,126.23,0.21
baseline,32,winograd,4,124.50,0.21
fused,32,winograd,0,17.78,1.50
fused,32,winograd,1,19.33,1.38
fused,32,winograd,2,17.38,1.53
fused,32,winograd,3,17.74,1.50
fused,32,winograd,4,17.64,1.51
baseline,64,implicit_gemm,0,143.86,0.37
baseline,64,implicit_gemm,1,151.77,0.35
baseline,64,implicit_gemm,2,145.92,0.37
baseline,64,implicit_gemm,3,145.80,0.37
baseline,64,implicit_gemm,4,152.62,0.35
fused,64,implicit_gemm,0,30.60,1.74
fused,64,implicit_gemm,1,30.06,1.77
fused,64,implicit_gemm,2,30.63,1.74
fused,64,implicit_gemm,3,30.60,1.74
fused,64,implicit_gemm,4,30.15,1.77
baseline,64,implicit_precomp,0,145.44,0.37
baseline,64,implicit_precomp,1,151.10,0.35
baseline,64,implicit_precomp,2,146.78,0.36
baseline,64,implicit_precomp,3,162.88,0.33
baseline,64,implicit_precomp,4,150.33,0.35
fused,64,implicit_precomp,0,30.23,1.76
fused,64,implicit_precomp,1,30.07,1.77
fused,64,implicit_precomp,2,30.79,1.73
fused,64,implicit_precomp,3,30.55,1.75
fused,64,implicit_precomp,4,31.65,1.68
baseline,64,gemm,0,145.47,0.37
baseline,64,gemm,1,145.19,0.37
baseline,64,gemm,2,137.39,0.39
baseline,64,gemm,3,137.58,0.39
baseline,64,gemm,4,141.45,0.38
fused,64,gemm,0,30.43,1.75
fused,64,gemm,1,30.55,1.75
fused,64,gemm,2,30.26,1.76
fused,64,gemm,3,30.11,1.77
fused,64,gemm,4,30.23,1.76
baseline,64,winograd,0,143.15,0.37
baseline,64,winograd,1,148.88,0.36
baseline,64,winograd,2,150.34,0.35
baseline,64,winograd,3,137.12,0.39
baseline,64,winograd,4,133.26,0.40
fused,64,winograd,0,30.54,1.75
fused,64,winograd,1,30.19,1.77
fused,64,winograd,2,29.70,1.79
fused,64,winograd,3,30.04,1.77
fused,64,winograd,4,30.61,1.74
baseline,128,implicit_gemm,0,158.47,0.67
baseline,128,implicit_gemm,1,157.02,0.68
baseline,128,implicit_gemm,2,150.18,0.71
baseline,128,implicit_gemm,3,143.00,0.75
baseline,128,implicit_gemm,4,167.59,0.64
fused,128,implicit_gemm,0,30.05,3.55
fused,128,implicit_gemm,1,30.17,3.53
fused,128,implicit_gemm,2,30.35,3.51
fused,128,implicit_gemm,3,30.40,3.51
fused,128,implicit_gemm,4,30.40,3.51
baseline,128,implicit_precomp,0,144.98,0.74
baseline,128,implicit_precomp,1,143.64,0.74
baseline,128,implicit_precomp,2,149.96,0.71
baseline,128,implicit_precomp,3,146.82,0.73
baseline,128,implicit_precomp,4,140.74,0.76
fused,128,implicit_precomp,0,30.04,3.55
fused,128,implicit_precomp,1,30.49,3.50
fused,128,implicit_precomp,2,30.48,3.50
fused,128,implicit_precomp,3,30.19,3.53
fused,128,implicit_precomp,4,30.46,3.50
baseline,128,gemm,0,146.14,0.73
baseline,128,gemm,1,143.28,0.74
baseline,128,gemm,2,145.51,0.73
baseline,128,gemm,3,153.50,0.69
baseline,128,gemm,4,142.68,0.75
fused,128,gemm,0,29.68,3.59
fused,128,gemm,1,30.18,3.53
fused,128,gemm,2,30.83,3.46
fused,128,gemm,3,29.84,3.57
fused,128,gemm,4,30.81,3.46
baseline,128,winograd,0,147.65,0.72
baseline,128,winograd,1,135.77,0.79
baseline,128,winograd,2,136.56,0.78
baseline,128,winograd,3,138.85,0.77
baseline,128,winograd,4,134.54,0.79
fused,128,winograd,0,29.85,3.57
fused,128,winograd,1,30.26,3.52
fused,128,winograd,2,29.90,3.57
fused,128,winograd,3,30.15,3.54
fused,128,winograd,4,29.54,3.61
