graph,hidden,impl,run,time_ms,edges_per_s
data/cora,64,baseline,1,27.21,498610.37
data/cora,64,baseline,2,27.70,489793.69
data/cora,64,baseline,3,27.47,493859.64
data/cora,64,fused,1,15.26,889255.62
data/cora,64,fused,2,15.42,879651.52
data/cora,64,fused,3,15.50,875484.26
data/cora,128,baseline,1,15.37,882686.39
data/cora,128,baseline,2,15.41,880442.56
data/cora,128,baseline,3,15.43,879396.10
data/cora,128,fused,1,15.38,881773.90
data/cora,128,fused,2,15.39,881750.07
data/cora,128,fused,3,15.00,904610.33
data/cora,256,baseline,1,15.55,872419.64
data/cora,256,baseline,2,15.58,870982.18
data/cora,256,baseline,3,16.66,814099.59
data/cora,256,fused,1,15.44,878672.45
data/cora,256,fused,2,15.21,892056.79
data/cora,256,fused,3,15.42,879757.39
data/citeseer,64,baseline,1,15.93,799899.34
data/citeseer,64,baseline,2,15.66,813527.42
data/citeseer,64,baseline,3,15.17,840222.88
data/citeseer,64,fused,1,15.58,817949.24
data/citeseer,64,fused,2,15.98,797587.32
data/citeseer,64,fused,3,15.60,816937.34
data/citeseer,128,baseline,1,15.72,810642.30
data/citeseer,128,baseline,2,15.84,804456.57
data/citeseer,128,baseline,3,15.76,808441.82
data/citeseer,128,fused,1,15.51,821798.15
data/citeseer,128,fused,2,15.89,802026.06
data/citeseer,128,fused,3,15.84,804300.59
data/citeseer,256,baseline,1,15.96,798310.11
data/citeseer,256,baseline,2,15.94,799241.07
data/citeseer,256,baseline,3,16.22,785373.45
data/citeseer,256,fused,1,16.64,765911.67
data/citeseer,256,fused,2,15.87,802881.57
data/citeseer,256,fused,3,15.55,819523.24
